time_step;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44
0;9.911002902289168;32.146344878340294;59.928984556338115;30.65186954850817;47.07359123916092;40.98593476291135;53.751892418367284;21.653739892733412;15.676699759194593;33.52870142919666;44.07101320771847;44.361370359899226;43.69761793111073;29.38282000677755;46.03927983131437;48.21970456642203;38.02639815949824;44.67707321893843;46.05495145470962;46.015517305647805;16.672694755930877;34.38206738309808;21.42897481081068;51.567827794526686;43.96929321779609;18.856109239507063;39.29833072968745;49.82282018308207;36.75649046622488;41.89897092468513;36.4933686968139;28.28424347203771;37.9222095271272;33.58080044339948;21.826726481001245;20.775777578898033;19.410046815263556;40.97180996361889;39.73294599369927;50.14120692571531;33.38698462010985;44.31316893144014;40.291369617070494;50.255916525032795;31.876119821285894
1;8.556330763991769;29.305421582188508;53.28417893819171;25.66822345541095;49.12741171247088;40.27922678920465;47.49012101392008;20.632173303317483;14.71834136781476;33.04059122068747;40.44740096082782;41.06152226814946;40.72077929239802;26.305983749345707;42.04268776647453;43.9583199883959;35.514423241041996;44.35100284668801;45.19790084642583;43.35071442889372;15.246295137644594;31.222611402322975;20.023103972324375;47.706008087324605;39.581993869141954;18.32126089124922;37.06824221346582;49.07961922741434;34.21951308720012;40.20559013213238;35.01341792174035;27.481971145547096;40.26388580236667;29.580200997013566;20.759705781966467;19.26093496942906;19.210542424633054;37.237296982059036;37.86990404919982;47.18904612616096;30.950007256384442;40.04890421708323;39.30917521308823;47.56926603446616;30.43148648895229
2;7.560805831428373;25.848350605537718;47.362450728276876;23.567859237603635;43.24741196969165;36.66309913692755;44.85477714700561;20.597028994604717;13.609206670273476;30.589498295990825;38.35315129198486;36.30471256521395;39.24281635088069;24.085851289190874;39.44080553185898;38.42091051449001;33.69904252230695;39.68732941071555;42.61807819604944;37.40347426271649;14.006331168569538;29.939173268634807;16.962341704477097;42.63720134120599;35.63804458400333;15.114084291798441;32.731414740956154;45.4930031300044;29.935860933893803;38.200545282149115;32.873606579707996;22.411607966327605;35.20168432681164;27.69973684534563;19.173196431583108;18.352850079159982;15.042505105481288;33.815407345307;37.08169928872776;41.00317778826308;27.062492040291797;36.94149939127895;37.06614258453548;44.283292879331135;29.36700574099055
3;7.060976774403262;22.4571601824054;44.017203240317045;22.52397568802397;39.319554561602416;35.095739569756965;40.676170429257915;20.58481615591926;12.993238182696413;31.140095723601096;37.56736483192454;36.995306923243206;34.80398850535072;21.29180386806149;37.05707730533664;33.02822423468222;30.938879254826446;35.899043027154136;39.93213390378445;31.91450802945984;13.385785948306214;27.60706104659882;16.043890741436737;41.954997812249275;32.78124473143481;15.04399999685232;30.472123325504096;45.142113494354454;31.32367185477536;39.09412279634386;30.792595630222813;20.719289105345734;31.15707307965261;26.43728479911789;19.639518054769695;17.857175137939468;13.212806165217602;30.509095248973182;35.212959112836515;42.492781031169685;24.112026673322205;34.23512547994367;33.51226764044673;39.66227121587038;29.18195568920644
4;7.006818918905846;24.889367112972902;43.477507767481974;21.608307628035536;37.82919372042803;33.55645907532255;39.55459528680751;20.63301038805985;12.639367628260628;28.597034455762138;37.5546961237689;39.411953823920506;32.45076135883365;20.338327208723378;37.065256147861206;37.33423892029338;28.48525917210963;34.46459157956518;36.207952930123966;36.281161585628624;13.811865558262218;27.0164315177086;15.796528313644965;42.8797238409266;30.058445169810827;14.334929500981222;30.78399958993037;45.54585872072601;30.44699122535659;35.07948112769617;29.742439763337774;21.50247451913977;30.529923506196994;25.955921388413394;18.071866888325676;16.957201886153918;12.819099298806089;30.293252618887482;33.87989843988082;40.626094842718146;24.21544357684073;33.8940822362746;32.79390770990831;38.27327818263211;27.183667721130305
5;6.871005669087517;20.949163810068075;42.33073153219467;21.208710960819126;37.52336582819914;32.08298409905383;39.572312721826144;21.691406630298804;12.019153752249268;26.641293835724355;37.6021428310384;37.59328620664331;30.63576490119336;20.418102037675016;36.62702177321162;31.290234729785944;27.03691086997353;33.098432640831554;35.718474290198266;30.532174305513536;13.975808419992722;26.615441376458744;15.691056956303411;41.70215497130695;29.70052895544788;14.25991612145424;31.22622145657486;45.64632953418014;29.44820762444952;35.623375999911545;28.309937816875063;20.27060573443388;31.90514514583258;23.00958218552023;17.691641231682915;16.973055806410027;14.642090364601742;29.76637218110547;32.29131435281411;39.40184006474629;25.830031803831844;35.627730180837716;31.397797254065257;38.72581231138524;27.352267421135423
6;6.746075152342962;22.97859489439086;41.395989293791715;21.394248129479536;38.459660999812236;33.58164887336056;39.16231139816983;20.921961767687957;11.54676608823018;27.762840429988934;37.97078641660574;36.93197270782053;31.714897454667756;20.307981919322025;38.79671009476364;34.23645262526021;26.429259139300548;33.35359699329942;36.05248986215427;33.7821373306031;13.207752351249752;26.815913041608418;15.505991339495026;42.525500069310134;29.767187445562577;14.95564719927357;31.34070530928959;45.141237408914726;29.106221846544912;34.700606457214306;29.606570206838555;18.931951611677032;30.22459648745106;21.18323672745244;18.002641942559183;17.23565306425468;15.231237554599412;29.350815414978516;32.87324942819945;39.119460143610574;25.78852598854012;35.77041265103362;31.72848887739646;38.16265469812256;28.220479117164665
7;6.511364454415772;22.93229603630014;40.06892808020703;22.28413117062058;38.44921996867504;31.94225049145326;42.660580104708174;21.326518123939415;11.342925390573503;27.26677715358849;39.21530666486655;35.9119818223377;34.359731828974766;20.574040475197478;40.427152059300816;34.22410370757885;26.067505354896266;33.0118791563009;37.707608200719456;33.016200797331834;13.396301620446208;26.825785731738627;15.598312888735016;44.37065337067912;30.441180718708083;14.662597218388507;30.44613880603928;43.25214320916363;29.788924107124075;34.16678010202222;28.960125589297675;20.118572267926975;29.924948987546507;21.85498198104426;18.014294888533993;18.286078101750867;15.7690460871722;29.77437104176406;32.17174857586363;39.74126654824224;27.651548771288414;35.915025908983395;31.239696805503513;39.337121670838904;28.06299765303053
8;5.502091477375222;25.568163125191806;35.56544361647673;20.027029947036365;37.14601647458112;30.863308713653325;37.59957377129999;22.18797625695477;11.848083969685701;27.268587268629485;36.92686883802609;33.6707576043062;31.371003249173217;18.52625160034221;35.34923933697346;38.35243321918526;25.07717313928215;31.290493434848514;34.38809092269216;37.267189957045495;12.187729542822211;26.1521000819645;14.050209518075022;41.874327496479424;29.19608482470149;16.71240530803265;29.879789365142862;39.92010813063527;28.917375187297356;28.65216391348157;26.897302879773342;25.06868811807243;29.370080353583262;25.06865871350427;18.219702640880588;17.333397299026025;14.756408552529305;27.920248431216926;29.71361323260686;40.43202649691294;26.78220366504841;32.91480756607677;30.070276810752773;36.657628463695936;26.264196325940887
9;5.377958348236363;24.98455265888138;34.219409225925475;19.674773317144833;35.457055958537275;28.144428279126476;35.8880028445369;21.00493315930865;11.644060516513735;27.455070316644694;34.748504391612386;32.59594772322961;28.608735999954206;17.956464192060707;34.009364919756365;37.477017763227536;23.713308410590148;30.014550058666845;34.21751868531396;36.66081271916451;12.041392419499251;25.36463295920533;12.521852325691771;41.55646876376206;29.52904780847855;17.303606150245425;27.373087595485746;37.58661559718154;30.577275074160276;28.158620355105146;24.9849825550702;25.95548947295135;28.85657852162207;25.95546004044122;17.838071823255973;16.234939265225563;14.905460812138427;27.120357815913295;29.256563432887056;41.54160086731373;25.4853992365747;30.958280391579496;27.860083588307948;34.33832613317428;26.071126736216176
