bus_name,pp_bus_idx,N,MAPE_%,Max_%,MeanSigned_%,MAE_pu,MaxAbsDiff_pu
mv_f0_lv48_f0_c0,4961,48,4.16844809297444,5.18789567414398,-4.16844809297444,0.0442768225023511,0.05515949507099638
sourcebus,1,48,4.107480186981081,4.200523670051351,4.107480186981081,0.041032109296410525,0.041924401789830035
mv_f0_lv48_f0_n0,4960,48,4.107155753705672,4.862972095852087,-4.107155753705672,0.04370391393277556,0.05174174786073871
mv_f0_lv48_busbar,693,48,4.078558129181377,4.711596059836644,-4.078558129181377,0.043436722942131446,0.05014781380469313
mv_f0_lv37_f0_c0,3659,48,4.034729952751207,4.167815943870538,-4.034729952751207,0.04336405391288648,0.04471717940786668
mv_f0_n310,625,48,4.029500328803988,4.407780090123843,4.029500328803988,0.039765110064351496,0.043075582283568004
mv_f0_n27,624,48,4.029500327992122,4.407780088741967,4.029500327992122,0.03976511005667715,0.04307558227063357
mv_f0_n126,605,48,4.029315713653225,4.407692999846784,4.029315713653225,0.03976371076371698,0.043075475493927096
mv_f0_n370,368,48,4.029315713653222,4.407692999846784,4.029315713653222,0.03976371076371696,0.043075475493927096
mv_f0_n44,550,48,4.02856131175592,4.397190195471699,4.02856131175592,0.03976178766932738,0.04298452595163449
mv_f0_n228,549,48,4.028561264732382,4.3971901107436,4.028561264732382,0.03976178722475049,0.0429845251582649
mv_f0_n317,442,48,4.028561264011491,4.397190110020154,4.028561264011491,0.03976178721790893,0.04298452515149076
mv_f0_n3,308,48,4.028561264011487,4.39719011002018,4.028561264011487,0.039761787613049555,0.042984525578658284
mv_f0_n10,309,48,4.028561264011486,4.39719011002013,4.028561264011486,0.03976178849003397,0.0429845265267228
mv_f0_n31,445,48,4.028561264011484,4.397190110020124,4.028561264011484,0.039761788661838486,0.04298452671245223
mv_f0_n336,467,48,4.028561218429721,4.397190026738933,4.028561218429721,0.03976178678701506,0.04298452437166933
mv_f0_n25,621,48,4.028496414664809,4.342231103792986,4.028496414664809,0.03985277241691589,0.04261468077617403
mv_f0_n443,501,48,4.028496414664809,4.342231103792986,4.028496414664809,0.03985277241691589,0.04261468077617403
mv_f0_n629,270,48,4.02848704597692,4.396857271152573,4.02848704597692,0.03976137848117009,0.04298187563161304
mv_f0_n642,269,48,4.028469227064751,4.396777331202266,4.028469227064751,0.03976127999153118,0.04298123886700023
mv_f0_n11,304,48,4.028446487697459,4.396675316905027,4.028446487697459,0.039761154080355604,0.042980426020104545
mv_f0_n4,160,48,4.028395638948638,4.396447197156173,4.028395638948638,0.039760871610815166,0.042978607361496945
mv_f0_n169,500,48,4.028392082261671,4.341788535166038,4.028392082261671,0.03985221682743198,0.042611213894410915
mv_f0_n521,613,48,4.028382877352506,4.396625442382104,4.028382877352506,0.03976046133524877,0.04297979695145204
mv_f0_n194,424,48,4.028382850049977,4.396625393957906,4.028382850049977,0.03976048013081412,0.04297981709458376
mv_f0_n444,50,48,4.028382850049972,4.396625393958026,4.028382850049972,0.03976046107699578,0.04297979649801209
mv_f0_n442,607,48,4.028382850049971,4.396625393958026,4.028382850049971,0.039760461076995775,0.04297979649801209
mv_f0_n459,525,48,4.028382850049971,4.396625393958026,4.028382850049971,0.039760461076995775,0.04297979649801209
mv_f0_n186,231,48,4.028382850049971,4.396625393957963,4.028382850049971,0.03976047295578177,0.042979809338602126
mv_f0_n80,230,48,4.02838285004997,4.396625393957947,4.02838285004997,0.039760469885947385,0.042979806020208455
mv_f0_n557,420,48,4.028382850049968,4.396625393957937,4.028382850049968,0.03976047721782674,0.042979813945737244
mv_f0_n73,425,48,4.028382850049968,4.396625393957939,4.028382850049968,0.03976048226315619,0.04297981939957829
mv_f0_n60,49,48,4.028364969097009,4.3964997583854135,4.028364969097009,0.03976043014375577,0.04297884270726704
mv_f0_n161,416,48,4.028348388784437,4.341603191839547,4.028348388784437,0.03985198298667315,0.042609760718064105
mv_f0_n622,159,48,4.02834094169388,4.396201812135024,4.02834094169388,0.039760566354360406,0.04297664950360702
mv_f0_n155,413,48,4.028339995460745,4.396324287982584,4.028339995460745,0.039760383965596904,0.04297750735021266
mv_f0_n193,410,48,4.028320862172688,4.396189853224387,4.028320862172688,0.039760346240711654,0.042976481730793714
mv_f0_n611,463,48,4.028314363332512,4.396082575247048,4.028314363332512,0.03976041749795755,0.04297569756470587
mv_f0_n172,409,48,4.028312660245952,4.396132224684384,4.028312660245952,0.039760329445770466,0.042976041398085085
mv_f0_n380,97,48,4.028311134149236,4.341445161650944,4.028311134149236,0.0398517830624456,0.04260852109202362
mv_f0_n164,407,48,4.028304490407385,4.3960748216304735,4.028304490407385,0.039760312344670055,0.04297560238414666
mv_f0_n347,96,48,4.028300126238876,4.341398467308442,4.028300126238876,0.039851723893623854,0.04260815470539803
mv_f0_n508,599,48,4.028290185370319,4.395974006644658,4.028290185370319,0.03976028191831151,0.04297483054035689
mv_f0_n338,462,48,4.028290150981151,4.395973952862239,4.028290150981151,0.03976028159280565,0.0429748300367222
mv_f0_n570,406,48,4.028290128822759,4.395973914114337,4.028290128822759,0.039760281383337426,0.042974829673875226
mv_f0_n518,598,48,4.028290107213746,4.3959738714049355,4.028290107213746,0.03976028117911401,0.04297482927393159
mv_f0_n474,381,48,4.028289963680759,4.395973611998592,4.028289963680759,0.039760279822001525,0.04297482684477283
mv_f0_n469,396,48,4.028278452405996,4.341306529350717,4.028278452405996,0.03985160726662021,0.04260743317500437
mv_f0_n368,397,48,4.028277118594959,4.3413008714768635,4.028277118594959,0.039851600083848776,0.042607388765853904
mv_f0_n375,367,48,4.028254828575654,4.403019333466753,4.028254828575654,0.03975593162583798,0.04303535074279008
mv_f0_n154,399,48,4.02825328921367,4.341199790010955,4.02825328921367,0.039851471651070926,0.042606595249794155
mv_f0_n171,191,48,4.0282135873437195,4.341031379483996,4.0282135873437195,0.03985125721629849,0.04260527268350678
mv_f0_n190,190,48,4.028168290025742,4.340839234039751,4.028168290025742,0.039851011866261256,0.04260376295919388
mv_f0_n209,415,48,4.028126950078352,4.340663875536332,4.028126950078352,0.039850787305892275,0.04260238442407693
mv_f0_n280,480,48,4.028122468815404,4.340644866637097,4.028122468815404,0.03985076292648974,0.042602234949924656
mv_f0_n232,332,48,4.028093583060051,4.340522337324708,4.028093583060051,0.039850605605764144,0.042601271264869234
mv_f0_n519,73,48,4.02809349763145,4.395174639283446,4.02809349763145,0.03975917598801716,0.04296855585215409
mv_f0_n225,297,48,4.028042161797493,4.340304215892894,4.028042161797493,0.039850324805795735,0.04259955493655321
mv_f0_n215,296,48,4.028017585182241,4.34019996565842,4.028017585182241,0.03985019026193167,0.04259873425481919
mv_f0_n515,72,48,4.0280140144757794,4.394851404314731,4.0280140144757794,0.03975872888681608,0.04296601816411805
mv_f0_n198,639,48,4.027976237318286,4.340024574583821,4.027976237318286,0.039849963413337505,0.04259735299653333
mv_f0_n179,429,48,4.027931954520101,4.339836734302396,4.027931954520101,0.039849719779507034,0.04259587294638645
mv_f0_n526,255,48,4.0279134143016515,4.339758089871119,4.0279134143016515,0.039849617565611804,0.04259525305269507
mv_f0_n162,254,48,4.027908256079126,4.33973620958509,4.027908256079126,0.039849589105841535,0.042595080562999654
mv_f0_n545,316,48,4.027888208730987,4.339651172252122,4.027888208730987,0.03984947840636327,0.04259441008493403
mv_f0_n141,132,48,4.027886356003396,4.3396433133103,4.027886356003396,0.03984946816847376,0.04259434811296481
mv_f0_n385,123,48,4.027884258801895,4.394323726703237,4.027884258801895,0.039757998342038255,0.04296187458009215
mv_f0_n555,124,48,4.027884258801888,4.394323726703191,4.027884258801888,0.03975799895368414,0.04296187524102679
mv_f0_n430,310,48,4.027884258801882,4.394323726703154,4.027884258801882,0.03975799913188446,0.04296187543358698
mv_f0_n284,131,48,4.027864450630262,4.339550394647115,4.027864450630262,0.03984934702896054,0.04259361529649608
mv_f0_n156,618,48,4.027864434050412,4.339550356405561,4.027864434050412,0.039849346871843896,0.04259361493675806
mv_f0_n265,524,48,4.027864398241457,4.339550297411023,4.027864398241457,0.039849346532248774,0.042593614381796874
mv_f0_n77,138,48,4.027864310043686,4.3395501411803705,4.027864310043686,0.03984934569594176,0.04259361291213626
mv_f0_n299,137,48,4.02784107952719,4.33945167296841,4.02784107952719,0.03984923023381831,0.042592852779446355
mv_f0_n494,448,48,4.02783583150679,4.339442495779379,4.02783583150679,0.03984918046664546,0.04259276644918841
mv_f0_n313,290,48,4.027819916806075,4.3393750280001235,4.027819916806075,0.03984910132683631,0.042592245571687726
mv_f0_n618,289,48,4.02780586539932,4.339315459355981,4.02780586539932,0.03984903141724535,0.04259178563829358
mv_f0_n163,582,48,4.027800334331609,4.339275324463596,4.027800334331609,0.03984894409693828,0.042592479553985374
mv_f0_n477,314,48,4.027800282007953,4.339275236227202,4.027800282007953,0.03984894360052892,0.042592478723913585
mv_f0_n273,313,48,4.027787236731837,4.339161370784764,4.027787236731837,0.039848949583214506,0.04259159650796562
mv_f0_n481,63,48,4.0277857773921815,4.39366443789249,4.0277857773921815,0.03975773897265682,0.04295678621703902
mv_f0_n576,176,48,4.027785777064903,4.393664437344971,4.027785777064903,0.039757738969560794,0.042956786211911235
mv_f0_n579,175,48,4.027782954910245,4.3936596974845274,4.027782954910245,0.03975771227196293,0.04295674182076803
mv_f0_n295,394,48,4.027781497152424,4.339151708163799,4.027781497152424,0.039848895129678034,0.042591505607572744
mv_f0_n331,55,48,4.027772134601076,4.339172463161829,4.027772134601076,0.03984886346150966,0.04259068140111999
mv_f0_n145,54,48,4.0277688673834975,4.339158612329307,4.0277688673834975,0.03984884718287132,0.04259057443143355
mv_f0_n435,558,48,4.02776851625233,4.4091770842027636,4.02776851625233,0.03975312179443547,0.043095927459678385
mv_f0_n395,372,48,4.027768513152367,4.409177078169462,4.027768513152367,0.03975312176505534,0.04309592740319834
mv_f0_n286,393,48,4.027766744646919,4.339022796472937,4.027766744646919,0.03984890162666445,0.04259050634784245
mv_f0_n298,351,48,4.027753433132989,4.338906476236603,4.027753433132989,0.03984890707451343,0.04258960423716929
mv_f0_n224,5,48,4.027748307522909,4.338861686940386,4.027748307522909,0.03984890906734668,0.04258925676322467
mv_f0_n341,12,48,4.027742509580173,4.3390468727584715,4.027742509580173,0.03984871579152969,0.0425897113943825
mv_f0_n312,4,48,4.02773576777173,4.338752110195854,4.02773576777173,0.03984891369696699,0.042588406401295686
mv_f0_n178,324,48,4.027730641887607,4.338707318340367,4.027730641887607,0.039848915488929576,0.04258805868757076
mv_f0_n189,563,48,4.027720643754191,4.408631135361708,4.027720643754191,0.03975306926329248,0.04309146334470382
mv_f0_n405,371,48,4.027720643580698,4.408631135045444,4.027720643580698,0.039753069261648705,0.043091463341743075
mv_f0_n135,291,48,4.027718862536141,4.338604385869256,4.027718862536141,0.0398489193858849,0.04258725939350527
mv_f0_n303,276,48,4.027713004327571,4.338553194513921,4.027713004327571,0.03984892120927872,0.04258686175551052
mv_f0_n221,61,48,4.027708639769185,4.392743976667872,4.027708639769185,0.03975690160286684,0.04294764232961967
mv_f0_n116,275,48,4.0276996953584865,4.33843689522849,4.0276996953584865,0.03984892506862684,0.042585958070278096
mv_f0_n279,319,48,4.02769457002399,4.338392107850216,4.02769457002399,0.039848926450008516,0.04258560994229954
mv_f0_n262,318,48,4.027681259471252,4.338275794303757,4.027681259471252,0.03984892976509249,0.042584705550333335
mv_f0_n386,504,48,4.027670686474626,4.338183402530107,4.027670686474626,0.039848932118066054,0.0425839868546648
mv_f0_n83,11,48,4.027664580223683,4.338716504167053,4.027664580223683,0.03984832663573996,0.04258715896629528
mv_f0_n351,10,48,4.027658906879494,4.338692452970265,4.027658906879494,0.03984829826479812,0.042586973101345404
mv_f0_n387,568,48,4.027637022003984,4.337889225471186,4.027637022003984,0.03984893795672601,0.04258169670658196
mv_f0_n522,571,48,4.027637017082518,4.337889214838366,4.027637017082518,0.039848937910031176,0.042581696606547204
mv_f0_n359,567,48,4.027636972830638,4.337889140398606,4.027636972830638,0.03984893749025981,0.04258169590620964
mv_f0_n424,218,48,4.027636879405403,4.337888980886254,4.027636879405403,0.039848936604022174,0.04258169440549964
mv_f0_n140,217,48,4.0276306899933205,4.337859207380057,4.0276306899933205,0.03984891760662514,0.0425814762045178
mv_f0_n150,630,48,4.027630436789785,4.391810794056398,4.027630436789785,0.039756052662717055,0.042938372130362334
mv_f0_n643,62,48,4.027630436462503,4.391810793508921,4.027630436462503,0.039756052659621045,0.04293837212523488
mv_f0_n285,390,48,4.027626296813293,4.337851769494675,4.027626296813293,0.03984887593044433,0.0425814062279154
mv_f0_n399,196,48,4.0275846519202325,4.392370097705721,4.0275846519202325,0.039757184693806985,0.04294685585629987
mv_f0_n325,45,48,4.0275823760210026,4.3383680132405456,4.0275823760210026,0.03984791502343097,0.04258446526565984
mv_f0_n47,572,48,4.0275782640439095,4.402887209100099,4.0275782640439095,0.039741970619115656,0.04302227461069075
mv_f0_n600,523,48,4.027578219073995,4.402887131378591,4.027578219073995,0.03974197019390962,0.043022273883271955
mv_f0_n7,365,48,4.027578216951073,4.402887129248049,4.027578216951073,0.03974197017376689,0.04302227386333157
mv_f0_n621,366,48,4.0275782169510075,4.402887129247909,4.0275782169510075,0.03974197332071195,0.043022277270024945
mv_f0_n17,447,48,4.027578216951006,4.402887129247909,4.027578216951006,0.039741982689911755,0.04302228741255887
mv_f0_n559,446,48,4.027578216951006,4.402887129247877,4.027578216951006,0.03974198098786658,0.04302228557002652
mv_f0_n562,449,48,4.027578216950992,4.402887129247845,4.027578216950992,0.03974197819642778,0.04302228254818208
mv_f0_n20,473,48,4.0275782169509835,4.402887129247845,4.0275782169509835,0.039741973814823674,0.043022277804920295
mv_f0_n597,353,48,4.0275781762269895,4.402887055787709,4.0275781762269895,0.039741969788846164,0.04302227317579432
mv_f0_n412,162,48,4.027566921227971,4.406705253313113,4.027566921227971,0.03975311512643214,0.04307587202418439
mv_f0_n612,352,48,4.027556023875445,4.402806610991052,4.027556023875445,0.03974189005711592,0.04302173895921024
mv_f0_n16,141,48,4.027552202899198,4.402792735365601,4.027552202899198,0.039741876247654,0.043021646752132936
mv_f0_n304,44,48,4.0275409132552324,4.338192238871939,4.0275409132552324,0.03984770697925943,0.042583106106967916
