Bus,X,Y
mv_f0_n138,3466.997039,3133.460011
mv_f0_n139,2616.728938,1076.680578
mv_f0_n140,5706.098264,5841.957907
mv_f0_n141,6393.015303,6690.27091
mv_f0_n142,4833.950598,5374.889472
mv_f0_n143,3843.029328,1511.840092
mv_f0_n144,5557.895397,6753.035148
mv_f0_n145,6258.40647,6697.237124
mv_f0_n146,8590.467639,4248.90025
mv_f0_n147,4472.697085,3840.728821
mv_f0_n148,5464.226463,6227.640397
mv_f0_n149,3097.608223,3161.896074
mv_f0_n150,5667.603916,2312.75105
mv_f0_n151,4874.004539,5299.490065
mv_f0_n152,5355.912978,6062.484028
mv_f0_n153,5983.506071,5448.162555
mv_f0_n154,6287.16167,6541.833804
mv_f0_n155,5936.863983,1987.955752
mv_f0_n156,6303.550599,6688.445019
mv_f0_n157,4373.163017,5168.637526
mv_f0_n158,5414.246931,6046.38484
mv_f0_n159,4958.218819,5364.461351
mv_f0_n160,4472.697085,3842.593914
mv_f0_n161,6064.190528,6556.91705
mv_f0_n162,6444.618165,6691.624041
mv_f0_n163,5145.898212,5856.46636
mv_f0_n164,5615.697607,2016.892602
mv_f0_n165,5428.722881,6042.972674
mv_f0_n166,3295.589851,3145.958734
mv_f0_n167,5130.829994,5347.248129
mv_f0_n168,5725.06377,5914.01802
mv_f0_n169,5960.956703,6561.555353
mv_f0_n170,5080.923955,5131.845512
mv_f0_n171,6379.866549,6534.651265
mv_f0_n172,5684.311927,2005.501783
mv_f0_n173,4835.950598,5374.885425
mv_f0_n174,5522.98192,6024.130441
mv_f0_n175,5697.18184,6306.968003
mv_f0_n176,5509.606202,6026.332234
mv_f0_n177,4092.443704,5195.172897
mv_f0_n178,5260.378621,5808.18482
mv_f0_n179,6499.197493,6689.24183
mv_f0_n180,3586.601167,5602.645395
mv_f0_n181,5923.955161,5396.309402
mv_f0_n182,3483.699394,1613.378795
mv_f0_n183,4873.513865,5299.16076
mv_f0_n184,5136.121487,5352.392652
mv_f0_n185,8590.188798,4248.03232
mv_f0_n186,5936.001522,1849.401316
mv_f0_n187,3090.415641,2164.88979
mv_f0_n188,5577.247821,6014.518397
mv_f0_n189,571.661831,2520.287993
mv_f0_n190,6486.338387,6528.113323
mv_f0_n191,7656.58617,4243.745217
mv_f0_n192,4934.428717,5367.793818
mv_f0_n193,5760.087487,2000.231142
mv_f0_n194,5888.023591,1736.453014
mv_f0_n195,5137.997719,5351.601793
mv_f0_n196,5786.774075,5950.17069
mv_f0_n197,3040.37988,2774.73424
mv_f0_n198,6536.957741,6649.420381
mv_f0_n199,4873.75596,5341.327635
mv_f0_n200,3266.758997,1773.203865
mv_f0_n201,5129.889717,5353.253576
mv_f0_n202,5465.782785,6765.503216
mv_f0_n203,7656.640209,4243.749596
mv_f0_n204,3971.227882,4052.905642
mv_f0_n205,5090.545047,4915.381411
mv_f0_n206,5769.799364,5960.626142
mv_f0_n207,5294.598238,6101.857061
mv_f0_n208,3839.32532,4092.121904
mv_f0_n209,6584.036463,6524.864934
mv_f0_n210,2899.032672,1356.06306
mv_f0_n211,5915.159784,5302.030798
mv_f0_n212,2737.041229,1850.708905
mv_f0_n213,5038.780068,4931.401776
mv_f0_n214,5668.180223,5990.524634
mv_f0_n215,6572.714225,6612.315703
mv_f0_n216,5425.978157,5023.583862
mv_f0_n217,3780.872482,1550.320932
mv_f0_n218,5894.41964,5316.528125
mv_f0_n219,7777.808477,4782.877964
mv_f0_n220,5617.526284,5744.074459
mv_f0_n221,5660.692588,2251.140079
mv_f0_n222,5052.34168,4969.128281
mv_f0_n223,5096.906791,5542.596978
mv_f0_n224,5157.12318,5814.783193
mv_f0_n225,6593.960174,6590.260113
mv_f0_n226,5364.796979,6059.906511
mv_f0_n227,5827.920152,1992.904322
mv_f0_n228,5119.459122,1960.465973
mv_f0_n229,3837.395049,4092.509013
mv_f0_n230,5913.55807,5364.566448
mv_f0_n231,5088.776893,5020.854652
mv_f0_n232,6638.427735,6544.117048
mv_f0_n233,3580.88709,3667.464178
mv_f0_n234,5951.521504,5465.495973
mv_f0_n235,4260.85065,5164.186646
mv_f0_n236,7749.211071,4704.141532
