time_step;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79
0;3.6970180579957477;99.8330200101375;30.00368230431068;99.8331263874738;28.69165346151116;99.83323271733153;2.124823738938521;9.983333902605278;28.45031238852635;35.90258089514602;3.685906131853479;35.078795530771956;43.28172316615569;14.137957094644158;14.824648117311535;56.551711525530855;12.633514803933702;5.002988734360835;24.746240647966516;5.710779732808252;25.102312918359647;68.52956900115193;90.9302942834884;171.32333848356828;34.26466769968632;848.1319281555411;40.24775533031286;646.8946668877833;5.713566307764963;25.751322191618787;32.26249338850454;64.68949457312144;27.014919003360983;21.067338330237064;13.809513116932525;478.8097693914534;56.74461399251191;25.65746502551295;3.270959434193913;25.99648155685397;40.649434002345004;456.7681634847376;5.391535657757386;456.76870716800136;40.5542102507008;72.50287699322118;22.136751858031488;26.208752261826255;56.402771673581675;14.26055721018766;26.450933433663863;449.20809400862856;24.989057185368306;449.20863545788706;89.47403655756499;22.460458812554478;92.71939635394905;179.68388663465134;4.55539402704112;179.6836662955837;26.347021368359734;48.57228600715865;25.277266161839723;55.90649706721514;31.04199576164783;36.56491319290358;73.50813007595282;279.53356506584737;26.92844827231331;16.27813267525798;62.627482740500376;279.53464334790164;29.172822246188307;111.81407279632731;13.710147980562231;19.566082098584634;12.026002331201331;44.370834603597146;57.26921986704876;26.393055600390884
1;3.4362267959162827;114.06667053604723;35.39102866883985;114.06677655394435;28.134131871556082;114.06688251086827;2.1377968012694426;11.406698841333219;26.490955694096098;31.263327666699638;3.6074039770163817;34.089827708326766;57.692472163490194;14.093681986441933;15.011521189191507;56.37461155196396;11.20252965784259;4.758829458524415;24.776767166595423;5.586019890315461;25.90554990497899;67.03245001717146;57.045143734931045;167.58054334209837;33.51610867082665;844.7699829011185;39.30854046007271;648.2287559487805;5.448491359064851;25.00131285207993;29.581600331447884;64.82290058950643;23.6561935777336;19.105261969978468;13.862395595494053;484.5748820203343;53.567331146516615;23.492020185781147;3.3907311916484875;24.564250003313003;39.718649817185295;465.6400035707596;5.49120879841492;465.64054747887525;37.43106529437828;73.91110547264095;20.42655674836836;24.11232676407807;56.399635513245585;14.554127188633045;28.39230255721453;458.45554853009054;23.107354706713583;458.4560901791723;87.10797403402786;22.922831558303358;83.63113097923957;183.38286868356462;3.8263435213630896;183.38264792738553;25.858732844894412;50.58254850529341;24.038289097412186;58.267641283190244;27.239372902313708;31.61568872874374;70.8667285590906;291.3392864614074;25.07469118332765;14.368859391792185;56.11959085367268;291.340365050185;26.03144641736422;116.5363615345782;12.540161370466679;18.641009052448645;11.524551674020357;46.244758750281775;45.0073928401834;26.187410903371077
2;3.194025106451935;115.00518633808487;34.006778062453456;115.00529255939782;25.29421151522232;115.0053987154056;2.1392768583829525;11.500550481273503;25.0985996265077;27.14043502122311;3.6419016994802322;35.26046329057879;59.411041793316066;13.898668766143333;13.582929595374063;55.594558474743536;11.398426454448822;4.44011318690719;22.444485408727143;5.858796111453724;24.484599327296948;70.30576504037478;72.74663879876314;175.7638298801885;35.15276597806679;708.2878235486473;22.649062441125277;625.2989604212781;5.170597405291746;22.99860547137495;28.450860518203914;62.52991229521321;22.150638197733013;16.922659863012115;13.214073466872737;453.6111093827077;49.75491867868864;21.506825495016653;3.271127071021103;22.93982761949126;38.3869250516975;441.0081888205018;5.113264120465358;441.0087328200188;34.8245910620451;70.00129294750018;19.482864675523263;23.981558430111498;50.67576305349423;13.776456584409175;22.09821266566549;433.9589247832623;21.101299773674704;433.95946676712674;85.14299238214349;21.698000407678748;76.27941594505798;173.58421965941787;4.49457166761377;173.58399199308423;24.494431772145454;46.75145511362048;22.181171400310078;53.79710574995104;24.19823542135383;27.850870670833565;34.951585362009155;268.98660983146226;23.660504923654145;14.176216881466916;53.6875373492046;268.987689664494;25.295231393341016;107.5952916607464;12.488808460599941;15.718220969985333;10.373050480740037;42.696715397458284;36.14491040518726;24.277818772253458
3;3.022600295720852;97.46941040897346;27.571761615880863;97.46951698619674;23.124394619922104;97.46962351266379;2.1290598890790315;9.746972999449174;22.817107684666137;27.09557504640695;3.6329985898790733;34.247175533960515;57.83343726695502;13.244269969049197;14.916540919752109;39.636388751676186;11.190159525040935;4.34833310117239;15.424603387751937;3.4273983618280455;23.184102665247647;41.128992985187104;67.00017743597978;102.82189709861298;20.56437942053307;607.4314730830961;26.015729962635575;477.35410656402485;5.444871922042856;22.44590250030543;24.948312782057947;47.735416294601215;20.489099195847125;16.685044081200086;12.159920604013319;376.6298116844973;51.5572187049924;21.591044290419287;3.277729674629173;20.974510452422777;38.6384491390635;360.2271455156706;4.807874579158867;360.2276902202971;31.397002811636156;57.17890479554022;19.14604581084249;21.811301226541584;39.365703937305106;11.188963013228445;22.38128067579699;352.4528782606486;21.292841395680256;352.45342126753;67.77644582052253;17.622698187238473;67.35569259570056;140.9818023479063;3.861124631158382;140.98157007146085;24.146717511384182;33.99341010523296;21.823841826367513;60.04936733162673;21.70058592846268;25.377911730753244;49.145687836458464;188.5602600033058;23.007515702639857;14.147777827964376;49.75434596526965;188.56134302422458;25.66071158754016;75.42475368347482;12.347363888177043;14.17021552512745;9.742820298696996;29.930629469647467;32.02857984629417;23.895599338817153
4;2.9003160630910334;92.16589680238182;27.306856672203246;92.16600346962979;23.718112493875566;92.16611009065589;2.138253446330948;9.216621666745114;21.318455284677494;24.83276294607002;3.563976335790213;33.87578267552107;58.556380499310215;12.864871341566886;20.503654762165226;33.60993237445814;12.608389007621646;4.270722781047368;15.338231782781467;3.1176798481167918;23.081130149390926;37.41237104950347;56.32805723134141;93.53034162399709;18.706068325448015;694.284755618103;46.82334138949458;460.16937314553405;5.752691733655389;21.430647705280283;24.747284318467187;46.01694121920418;19.625014049898592;15.843386853097702;12.133340319595327;368.44775014970014;49.21818340829184;21.241441707804082;3.2844544610171944;20.707299914493742;46.19039534863929;355.86894123958865;4.727194943419284;355.8694858064111;29.80272327389605;56.48712626704027;19.069696902619466;20.19642060770866;34.56676514157596;11.034935306932587;20.585403761536938;347.60100541477544;19.54471936679924;347.60154834234254;62.63535954509717;17.380104537642676;50.10191374897871;139.041053132189;3.7925690390655777;139.0408200719429;22.944833332017758;33.32230080253314;21.664527644853628;53.38621463035073;21.21803710228043;24.54348707193153;84.58416735851;184.45701079150902;21.83687571487339;11.93190842206155;45.82889797285789;184.4580937352487;25.32917379765162;73.78345395771687;9.460571594343614;13.976638698087465;9.854912084993828;29.279320049653485;31.267757528947214;24.07257829208807
5;2.854339640211235;72.3440360408071;27.633926279441827;72.34414316129589;21.82444657745434;72.34425025543526;2.2482705713906688;7.234435732756954;21.05291119016003;25.02547446297772;4.311876764587135;34.57731487713884;40.285283244807516;13.43397038367849;20.388587934088893;32.05917061840272;11.187015834581517;4.277916090132949;14.30664704387825;3.088876735183711;22.76543989659548;37.06673481584758;58.90786545403684;92.66624797353589;18.533249595390195;638.6902949332712;40.50315611051249;436.17584600409236;4.774325256728074;20.523935670582585;25.173775596116748;43.61758949683304;19.829724268329993;14.482279249308498;11.577254223039574;344.9020075441991;49.78129524459886;19.924391837668516;3.2713252224134264;19.742877015202374;45.143952754100084;335.04556506871216;4.64226506339461;335.04611022577706;30.42257076783334;53.18182848419908;18.67230670514241;19.858597293880536;27.922317267087198;10.385876836796495;24.13222322449784;327.1556642297581;18.811137424119178;327.1562077835318;63.480585547690424;16.357837541401242;47.87641508127848;130.86291741630555;4.472494924331029;130.86268409105753;22.649777380950667;32.23973471838197;20.29990306630837;50.93985919347281;21.30087543133726;24.76810535790504;72.33430027418324;177.78876744107205;21.01866689213178;11.596109201872707;49.40657446146721;177.78985165453963;21.73573050925586;71.11615738163168;9.121063547285422;15.222390471432107;10.20148787267338;28.220869232104473;30.722536039036903;23.80458819155422
6;2.90674159206421;96.57106618236642;30.949075587052526;96.57117278795275;22.562728416663074;96.57127935249221;2.129683056145676;9.657138587947363;20.76811772612153;26.52853462352727;6.287745469588161;34.1478192822888;62.95432628421378;13.506383946088308;19.650386483647146;33.617156196832134;11.390352807922854;4.340332223487337;16.179754765481768;2.728433045500981;23.33693225530476;32.74140937151016;54.58978015753677;81.85293754809992;16.370587510291585;648.9874641221464;36.97356047720967;464.12091171455796;4.970803699791166;20.89396506377758;25.29461244562129;46.41209100813824;19.782383993814058;14.138684807075197;11.996186530701443;383.88789342929977;51.3190341531875;20.291474471082356;3.2844230612010015;21.72292644133155;46.732535209093044;372.2975828277034;4.647842101135124;372.29812670623687;30.138330669701972;59.09484661100638;17.902856304105875;19.811519728587655;27.17594220594001;11.587835533365368;21.789579678777333;365.0173619410908;19.565818642324952;365.0179042809122;48.38221364250103;18.250922307324252;54.74013719325254;146.00759507697617;4.650456214439599;146.007358556714;21.722561274663974;34.35361771278816;19.447945145939087;49.094706983695836;21.7956382267711;25.265350950843533;66.7573980372334;165.33973207470729;22.14549127004924;11.704114033309473;45.39933933961061;165.3408142068687;26.90785144888136;66.13654201556454;9.148977634646016;15.265938962557557;10.019193159666305;26.24483110619949;47.29308053615686;23.893153289953315
7;2.9069500937651127;100.67075475833312;30.802443194449815;100.67086135556681;22.72693369497376;100.67096790519408;2.1270850889903903;10.067107437610108;19.84529611936366;27.633286670982578;6.737765130190482;35.068419957719506;59.60932749119814;14.067598996935907;21.16887487734361;41.06184293168594;11.188159170042187;4.466750425541065;16.003459131177472;2.96515652758173;21.87145562396925;35.58209100724695;73.909154198479;88.95464225879637;17.79092845257439;648.8006972697407;34.955042701760256;474.02672546990965;4.8496430896169;19.470279745783408;27.831641698011772;47.40267250984496;20.07838618975464;14.789534716930088;11.825225492529114;386.88096277678176;50.90016899278748;20.18662466431036;3.256039781406684;22.777645535545116;37.381106671056955;373.80919534889335;4.851775499234357;373.8097391373469;30.138101147783964;59.334785084766274;18.11777670328442;19.30375798178042;27.972516767009797;11.65146903667376;24.080665500259173;367.0218170896353;19.996009651326567;367.0223593994685;16.87109447371053;18.351145063532297;55.36390404839059;146.80937714177844;5.023571485778064;146.80914065278105;22.54161910647998;35.43404593718243;18.858851317432983;40.516779627127676;22.06066587619615;26.378930783510903;63.28369745941491;178.07677235610745;22.41626971959726;12.134638836032494;41.744069285773605;178.0778541112743;24.073623519199337;71.231357943356;8.951548064691032;14.8513379682011;9.790280404544253;28.26658341898087;49.1453254383912;23.302324971109105
8;2.7418285398370084;93.77572065233126;29.50676755015736;93.77582765142235;21.694949982590217;93.77593459497335;2.12820839780345;9.377604146887641;17.002516765346044;27.053521312209117;6.354845053987708;34.26376087637094;48.26895567622195;13.918958666662531;20.06416539716653;45.50718190426995;12.400454081937804;4.214265800317528;16.185335117711848;5.064737295370073;20.28435955422216;60.77706102711583;49.13852714966488;151.942065324802;30.388413066076232;609.4285701298534;35.664061367504225;431.109446389286;4.268211754888563;18.971763701454595;23.558063084093515;43.11094303008676;20.081329048614226;14.631002618977565;11.646858040711932;281.95592795258307;49.303699156193495;19.369101966436403;3.2714836476087314;21.210362904313467;31.137573165244724;271.85716745560444;4.521035610900764;271.8577116203835;27.444802704559244;43.15192321907544;16.086125615244224;18.052707071346113;37.746809397034745;8.411349704990407;21.730947663525946;264.95805893549425;19.27287376312059;264.958602071371;17.929755886354464;13.24795724213352;53.53851985902388;105.9838749650682;3.921666412448059;105.98363661334294;20.431747596973988;21.739507966326975;16.898783024548916;46.61972142244087;21.532481652264742;24.331491768232798;63.84772100932058;111.54009886565015;21.531285678513676;11.667223214578517;42.042012641901245;111.54118319567291;14.453730415010755;44.616690119818514;4.673752287902721;13.56666359348711;9.962057893684934;17.70520776052409;39.85587127287462;21.805339776059927
9;2.6539040527428126;85.7982360450846;27.484321123953475;85.79834317970654;20.840866255974376;85.79845026285365;2.126060766907009;8.579855729034428;16.05840583918856;26.344805690402325;6.7546465880325295;34.923298567852015;42.11009245758879;14.516663810981223;19.487823103066923;43.6885611223872;11.180964456161224;4.27957662192035;18.30308399059956;5.2870718895211475;19.180486748594358;63.445076456883854;54.550917242801845;158.6121030246682;31.722420606011614;625.2956750187913;38.23404244485996;434.126636946738;4.863022918164806;18.407093665216543;22.816701098680095;43.41266129916778;19.59541581153595;14.061304015830665;11.153074402615943;278.2581440668294;47.71127680948998;18.043523888578857;3.243062549404891;19.530071328121338;30.99747645932716;267.17850398445563;4.4567512769705075;267.17904823664793;25.885758371616046;42.409278170762875;16.140357126401717;17.318105691624275;36.61303490810484;8.227715891316599;24.04661593301551;259.17359397552804;19.030925993876195;259.1741372995388;15.674396986572422;12.958734012959134;51.22564674311227;103.67008921310467;4.0542565218843345;103.66985070568634;19.978427245835086;22.515446804803045;16.145449763261265;52.012754883136694;20.792908994418607;24.05089335031023;69.64985380114703;116.31671282430102;20.933650509795676;12.236884581208367;43.49688780427511;116.31779759815008;16.081570637619535;46.52733596780158;2.982821763538677;12.698366436206904;8.994655745098935;18.463400622353372;35.615870788887975;20.560680272592506
