bus_name,phase,pp_bus_idx,vn_kv,N,MAPE_%,Max_%,MeanSigned_%
mv_f0_lv40_f1_c32,C,10017,0.433,48,4.350126337971727,6.191670877877503,4.350126337971727
mv_f0_lv12_f2_n14,C,4122,0.433,48,4.350112932667587,5.591847322698777,4.350112932667587
mv_f0_lv31_f2_c25,C,8423,0.433,48,4.35008972240013,5.889088942787839,4.35008972240013
mv_f0_lv39_f1_c8,B,9671,0.433,48,4.350061340632361,6.008239737066808,4.350061340632361
mv_f0_lv25_f2_n11,A,6944,0.433,48,4.350055554283152,5.812711360954725,4.350055554283152
mv_f0_lv2_f2_c15,B,1293,0.433,48,4.350054256030234,6.345223518197101,4.350054256030234
mv_f0_lv10_f1_c36,C,3479,0.433,48,4.349951799220849,5.63346894831435,4.349951799220849
mv_f0_lv25_f2_c11,A,6945,0.433,48,4.349914795554922,5.81050648971472,4.349914795554922
mv_f0_lv18_f0_n7,A,5470,0.433,48,4.349910841383664,5.676981152527266,4.349910841383664
mv_f0_lv8_f2_c0,B,3037,0.433,48,4.349878835392758,5.403298965619753,4.349878835392758
mv_f0_lv19_f0_c20,C,5637,0.433,48,4.349843786276504,5.243595007036759,4.349843786276504
mv_f0_lv10_f1_n36,C,3478,0.433,48,4.34983672158019,5.6324469309093645,4.34983672158019
mv_f0_lv36_f3_n2,C,9140,0.433,48,4.3498233266317206,5.442990811474249,4.3498233266317206
mv_f0_lv5_f5_c19,C,2477,0.433,48,4.349814264840128,6.1221827260719035,4.349814264840128
mv_f0_lv12_f2_c10,B,4115,0.433,48,4.349777610480911,5.455257530500866,4.349777610480911
mv_f0_lv12_f1_n8,C,4030,0.433,48,4.349759837548845,5.519791410229903,4.349759837548845
mv_f0_lv25_f2_c39,C,7001,0.433,48,4.349744369574,5.739815424812895,4.349744369574
mv_f0_lv13_f2_c1,B,4393,0.433,48,4.349743079291225,5.4692503885974535,4.349743079291225
mv_f0_lv28_f1_n4,A,7652,0.433,48,4.349729337205698,5.242585353490992,4.349729337205698
mv_f0_lv19_f0_c19,C,5635,0.433,48,4.349727981045552,5.210787921849721,4.349727981045552
mv_f0_lv12_f3_c1,B,4177,0.433,48,4.349724350755135,5.474708607889641,4.349724350755135
mv_f0_lv28_f1_c2,B,7649,0.433,48,4.349722512037867,5.258280193769258,4.349722512037867
mv_f0_lv36_f4_n6,C,9228,0.433,48,4.349712335226501,5.616672031238205,4.349712335226501
mv_f0_lv36_f0_c3,A,8903,0.433,48,4.349711211223299,5.165479174194026,4.349711211223299
mv_f0_lv42_f5_c9,C,10829,0.433,48,4.349682533049293,5.997877932209953,4.349682533049293
mv_f0_lv43_f1_n17,C,10962,0.433,48,4.34967379462812,5.921669203377138,4.34967379462812
mv_f0_lv12_f2_n11,B,4116,0.433,48,4.349672858298219,5.456363713500763,4.349672858298219
mv_f0_lv12_f2_n16,B,4126,0.433,48,4.349597406526025,5.597532933338225,4.349597406526025
mv_f0_lv2_f2_n15,B,1292,0.433,48,4.349585947520521,6.345202800453586,4.349585947520521
mv_f0_lv12_f3_n1,B,4176,0.433,48,4.349585059405793,5.474892601800972,4.349585059405793
mv_f0_lv14_f0_c2,C,4481,0.433,48,4.349578671139947,4.987707453608758,4.349578671139947
mv_f0_lv25_f0_c12,C,6787,0.433,48,4.3495487995624815,5.420897179794771,4.3495487995624815
mv_f0_lv16_f1_c12,A,5101,0.433,48,4.349529384847695,5.705520850352191,4.349529384847695
mv_f0_lv25_f3_c35,C,7073,0.433,48,4.349524354354022,5.712445873523606,4.349524354354022
mv_f0_lv33_f1_c11,C,8671,0.433,48,4.349523464314046,5.9661869513242305,4.349523464314046
mv_f0_lv10_f1_n37,C,3480,0.433,48,4.349516231585213,5.634164774780358,4.349516231585213
mv_f0_lv2_f3_c2,A,1347,0.433,48,4.349499331229098,5.842856765177651,4.349499331229098
mv_f0_lv14_f0_n2,C,4480,0.433,48,4.349493038377509,4.98695513208803,4.349493038377509
mv_f0_lv1_f0_c8,B,795,0.433,48,4.3494861732426715,5.695397079759195,4.3494861732426715
mv_f0_lv41_f1_c16,B,10201,0.433,48,4.349450134655993,5.583043670889719,4.349450134655993
mv_f0_lv36_f2_c19,B,9095,0.433,48,4.349432080434876,6.207776856604339,4.349432080434876
mv_f0_lv0_f1_c14,B,749,0.433,48,4.349424225116981,6.131546672853209,4.349424225116981
mv_f0_lv10_f1_c38,C,3483,0.433,48,4.349410196477991,5.635468007074885,4.349410196477991
mv_f0_lv11_f1_n11,A,3682,0.433,48,4.349387930680613,5.468640123287788,4.349387930680613
mv_f0_lv31_f2_n25,C,8422,0.433,48,4.349365787108997,5.888485395527805,4.349365787108997
