bus_name,pp_bus_idx,N,MAPE_%,Max_%,MeanSigned_%,MAE_pu,MaxAbsDiff_pu
mv_f0_n385,134,48,4.192593972812328,4.8738486546349105,4.192593972812328,0.041032389726260526,0.04696595271563886
mv_f0_n51,133,48,4.192368159291423,4.872886217665676,4.192368159291423,0.04103120006170453,0.04695854763469365
mv_f0_n382,142,48,4.192356496297593,4.872866294054933,4.192356496297593,0.04103109106082955,0.04695836455790081
mv_f0_n47,141,48,4.1920874912691195,4.871719737839783,4.1920874912691195,0.041029672859626436,0.04694954103815441
mv_f0_n410,235,48,4.1919591774721,4.871172837444015,4.1919591774721,0.04102899599233059,0.0469453315777284
mv_f0_n43,125,48,4.191947529989714,4.871152930460037,4.191947529989714,0.04102888713113654,0.04694514863788801
mv_f0_n545,124,48,4.191913712082053,4.871008787237951,4.191913712082053,0.041028708701058535,0.04694403910196554
mv_f0_n58,145,48,4.1918623477083985,4.870755587865626,4.1918623477083985,0.04102848010742629,0.0469421037749419
mv_f0_n70,156,48,4.191798969370417,4.870443166032511,4.191798969370417,0.04102819613112561,0.04693971354123949
mv_f0_n75,168,48,4.1917227075026595,4.870067235326442,4.1917227075026595,0.04102785162323089,0.04693683414216321
mv_f0_n77,173,48,4.191690086156508,4.869906429388027,4.191690086156508,0.04102770332285643,0.046935601373023106
mv_f0_n491,364,48,4.1916593714393064,4.869755022157703,4.1916593714393064,0.041027563177778247,0.046934440056989324
mv_f0_n71,164,48,4.191654796045621,4.869732467902211,4.191654796045621,0.04102754225864138,0.04693426701275438
mv_f0_n66,152,48,4.1915976244867155,4.869450642630943,4.1915976244867155,0.04102727993481833,0.046932103662208347
mv_f0_n63,151,48,4.1915737687512005,4.869333046634655,4.1915737687512005,0.041027169966823505,0.0469312003750848
mv_f0_n60,149,48,4.191540699564933,4.869170033313277,4.191540699564933,0.041027017031550005,0.04692994764528413
mv_f0_n55,140,48,4.191497580436335,4.868957479271842,4.191497580436335,0.04102681675270352,0.04692831319174229
mv_f0_n398,537,48,4.191484569053302,4.868893330805383,4.191484569053302,0.04102675612835319,0.04692781968164006
mv_f0_n196,139,48,4.191484568465625,4.868893337298533,4.191484568465625,0.04102675612253118,0.04692781974131732
mv_f0_n214,536,48,4.191484519774086,4.86889325029242,4.191484519774086,0.041026755667693766,0.046927818941661315
mv_f0_n24,413,48,4.191484517395748,4.86889324789852,4.191484517395748,0.04102676741725959,0.046927832384795365
mv_f0_n20,410,48,4.191484517395744,4.868893247898505,4.191484517395744,0.04102676949009048,0.04692783475577078
mv_f0_n76,409,48,4.1914845173957325,4.868893247898526,4.1914845173957325,0.04102677181229424,0.046927837411987916
mv_f0_n22,412,48,4.1914845173957325,4.868893247898485,4.1914845173957325,0.04102676638719457,0.04692783120657129
mv_f0_n17,408,48,4.19148451739573,4.868893247898504,4.19148451739573,0.041026771543863805,0.046927837104947745
